id,stockid_i,stockid_j,date1,time1,lnA_B,lnA_B_sub,lnA_BsubC,lnA_BaddC,close_1,close_2,pearson_,norm_,avg_,stdev_,sample,commission,norm_num,open_,close_,clsoe_stats,values
92,GBPCAD,GBPSGD,2015.11.30,23:00,-0.054709948633645755,-0.0008065683835081217,-0.05442736696566386,-0.05499245047178647,2.01052,2.12358,,,,,100,0.0006,0.9,0,0,0,0
93,GBPCAD,GBPSGD,2015.11.30,23:15,-0.054496700848921,0.00021324778472475714,-0.05421406593597544,-0.054779255901943325,2.01057,2.12318,,,,,100,0.0006,0.9,0,0,0,0
94,GBPCAD,GBPSGD,2015.11.30,23:30,-0.054590272631373504,-9.357178245250619e-05,-0.05430771757835118,-0.0548727478695894,2.01095,2.12378,,,,,100,0.0006,0.9,0,0,0,0
95,GBPCAD,GBPSGD,2015.11.30,23:45,-0.05444900508453199,0.000141267546841517,-0.05416641010719003,-0.054731520224513885,2.01095,2.12348,,,,,100,0.0006,0.9,0,0,0,0
96,GBPCAD,GBPSGD,2015.12.01,00:00,-0.05435949915719074,8.950592734124907e-05,-0.054076904179848784,-0.054642014297172636,2.01113,2.12348,,,,,100,0.0006,0.9,0,0,0,0
97,GBPCAD,GBPSGD,2015.12.01,00:15,-0.05354533788235294,0.0008141612748377991,-0.05326255910772859,-0.05382803671574721,2.01146,2.1221,,,,,100,0.0006,0.9,0,0,0,0
98,GBPCAD,GBPSGD,2015.12.01,00:30,-0.054629740891533496,-0.0010844030091805568,-0.05434721244845775,-0.05491218953483323,2.01106,2.12398,,,,,100,0.0006,0.9,0,0,0,0
99,GBPCAD,GBPSGD,2015.12.01,00:45,-0.055593927735555604,-0.000964186844022108,-0.055311428557632714,-0.05587634713023104,2.00933,2.1242,,,,,100,0.0006,0.9,0,0,0,0
100,GBPCAD,GBPSGD,2015.12.01,01:00,-0.055678122879285086,-8.419514372948189e-05,-0.05539565030078619,-0.05596051568955818,2.00935,2.1244,0.5356166719213155,0.435043213014,-5.9059317828069615e-06,0.00047869049507577393,100,0.0006,0.9,0,0,0,0
101,GBPCAD,GBPSGD,2015.12.01,01:15,-0.055410340135099045,0.0002677827441860403,-0.05512783829695833,-0.05569276218848995,2.00968,2.12418,0.5330325312313946,0.71682228759,-6.74788322010178e-06,0.0004787540421009077,100,0.0006,0.9,0,0,0,0
